If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The surprising truth about which countries lead in digital,The new tech talent you need to succeed in digital,Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,Organizing for digital acceleration: Making a two-speed IT operating model work
Machine Learning and the VP Debate,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",5 reasons your employees aren't sharing their knowledge,Top 10 Intranet Trends of 2016,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",AI Is Here to Help You Write Emails People Will Actually Read
The Genderbread Person v3 | It's Pronounced Metrosexual,Introducing Ask a Female Engineer,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
The next wave in software is open adoption software,Microsoft's Open Source Love Affair Reaches New Heights,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Docker 1.12: Now with Built-in Orchestration!,Using behavioral data to improve customer satisfaction,Bot Design Patterns
Concrete things you can do about your technical debt,The sales secrets of high-growth companies,Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,"DevOps security requires new mindset and tools for visibility, automation",Mastering Bash and Terminal
Agile: Falta competência nos testes,Como Usar o Git e o GitHub,Top 5 Android Testing Frameworks with Examples,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Dicas avançadas de ruby (capybara/cucumber),Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog
Design Kit: Prototyping,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,The economic essentials of digital strategy,Mobile Time,Liberty vai adotar telemetria e baratear seguro para bons motoristas
A step-by-step guide to agile growth experiments,The AI business landscape,The barbell effect of machine learning.,"No, Apple isn't the next BlackBerry - it's the next Microsoft",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Touch (TV Series 2012-2013)
What to Inspect When You are Inspecting!,Serverless Architectures,The Internet of Things is looking for its VisiCalc,Google is testing a new Material Design layout for desktop searches,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,CSS Containment in Chrome 52 | Web Updates - Google Developers
BDD Best Practices and Guidelines - Testing Excellence,Como Usar o Git e o GitHub,Java 9 na prática: Jigsaw,Sua comunidade de Teste.,Dicas avançadas de ruby (capybara/cucumber),Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
bliki: StranglerApplication,Creating Your Code Review Checklist - DaedTech,The Ultimate Solution to Versioning REST APIs: Content Negotiation,The hardest thing in computer science,On DRY and the cost of wrongful abstractions,Building Spring Cloud Microservices That Strangle Legacy Systems
6 exemplos de como usar computação cognitiva | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Mobile Time,The new tech talent you need to succeed in digital,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Meet the new Brazilian consumer,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The sales secrets of high-growth companies,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Two Different Sales Motions . . . .
Aplicações da Inteligência artificial | Endeavor Brasil,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Machine Learning and the VP Debate,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Sobre o Hipsters Ponto Tech
Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,New MacBook Pro is not a Laptop for Developers Anymore,Berners-Lee quer criar outra Web,Beyond Progressive Web Apps Part 1,The moment when you realize every server in the world is vulnerable - Free Code Camp,Anti-If: The missing patterns
Scala is the new golden child,Google's Cloud Machine Learning service is now in public beta,"The ""Joel Test"" for Data Science",Machine Learning Is No Longer Just for Experts,Spark comparison: AWS vs. GCP,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
Dries Distributions remain a growing opportunity for Drupal - Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",An overview of web service solutions in Drupal 8
Microservices Architecture on Google App Engine,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Building Spring Cloud Microservices That Strangle Legacy Systems,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Microservices testing
"Hello, TensorFlow!",The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Why Google App Engine rocks: A Google engineer's take,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Making open source data more available
Who sponsors Drupal development? | Dries Buytaert,Acquia Engage Awards Finalists Announced,7 Questions to Ask Before Your Next Digital Transformation,Dries Buytaert,The return of the machinery question,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
#FinTech is all about human-centred design - Chris Skinner's blog,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Transforming life insurance with design thinking
"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",What to Expect at WWDC 2016
Innovation is in all the wrong places,This Super Accurate Portrait Selection Tech Uses Neural Networks,Google's Cloud Machine Learning service is now in public beta,We are on the verge of a consumer M&A avalanche,Transfer Style But Not Color,"The ""Joel Test"" for Data Science"
Anti-If: The missing patterns,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Berners-Lee quer criar outra Web,Chrome OS now has Material Design for the desktop,You don't talk about refactoring club,What Color is Your Function?
Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Nova pulseira tecnológica avisa se você já bebeu demais,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Top 30 Commonly Confused Words in English
Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Porto Seguro compra carteira de seguros Auto da Chubb,The new tech talent you need to succeed in digital,Transforming life insurance with design thinking,LPIC-OT DevOps Engineer | Linux Professional Institute,Liberty vai adotar telemetria e baratear seguro para bons motoristas
Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",How to finish 3D printed PLA objects,Google acquires deep search engine Kifi to enhance its Spaces group chat app,How to Create an Exponential Mindset,The economic essentials of digital strategy
Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Não existe frete grátis!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine","Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mobify report reveals impact of mobile website speed
Quando o Scrum irá falhar - Tableless,Accidental discovery could help batteries last years longer,Vision API - Image Content Analysis,System Code Geeks are giving away a FREE Sublime Text Editor License,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Modelando APIs REST com Swagger
Drupal and ambitious digital experiences,Hacked Website Report - 2016/Q3,14 Cool Drupal 8 modules for site builders | August 2016,WeChat's competitor to Slack has arrived,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Who sponsors Drupal development? | Dries Buytaert
"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Meet the new Brazilian consumer,Conselho da SABMiller aceita proposta de compra da AB InBev,Elasticsearch: CSV exporter for Kibana Discover,Gartner Reprint,The sales secrets of high-growth companies
Changing change management,Google acquires deep search engine Kifi to enhance its Spaces group chat app,The economic essentials of digital strategy,"Microsoft adquire LinkedIn por US$ 26,2 bilhões","How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog","Within a Decade, Retail Banks will be Dead"
Live asynchronously.,O manual do deboísta corporativo,Seniority,Berners-Lee quer criar outra Web,Kubernetes,Google researchers teach AIs to see the important parts of images - and tell you about them
Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Algorithms and architecture for job recommendations,Machine Learning Is No Longer Just for Experts,AI Is Here to Help You Write Emails People Will Actually Read,Google's Cloud Machine Learning service is now in public beta,Text summarization with TensorFlow,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
Speeding up ReSharper (and Visual Studio),The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,'We've realized a ten-year strategy goal in one year'
Jenkins 2.0 is here!,"GitHub broke my 1,000 day streak - Free Code Camp",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic
Standing on the Shoulders of Giants - Built to Adapt,"Kotlin in Production - What works, Whats broken",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Building Flipkart Lite: A Progressive Web App,Combining Spring Boot and JDBI,Notes on Reactive Programming Part I: The Reactive Landscape
What Color is Your Function?,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",You don't talk about refactoring club,Alecrim/AlecrimCoreData,Tech in Brazil is booming despite the country's political troubles,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Google lags behind Amazon and Microsoft's cloud in one important area,"Amazon open-sources its own deep learning software, DSSTNE",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,The AI business landscape,Google Cloud Goes to the Farm
Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,Promises | Web Fundamentals - Google Developers,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,19 Tips For Everyday Git Use
"Say goodbye to traditional customer segmentation "" Banking Technology",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
Java 9 na prática: Jigsaw,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,BDD Best Practices and Guidelines - Testing Excellence,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Angular 2 versus React: There Will Be Blood - Free Code Camp
Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Gartner Reprint,Gartner Reprint,Conselho da SABMiller aceita proposta de compra da AB InBev,Introducing New Relic Infrastructure,Shopping em BH terá fazenda urbana de 2.700 m²
O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Para neurociência, motivação não é fator principal em mudança de hábitos"
Google Ranking Factors: The Complete List,How Coca-Cola Is Harvesting Innovation Energy From Startups,Top 30 Commonly Confused Words in English,"DevOps security requires new mindset and tools for visibility, automation",Stop saying learning to code is easy.,Introduction to Natural Language Processing - University of Michigan | Coursera
Visa inaugura Co-Creation Center em São Paulo,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Mobile Time,How Do Top Android Developers QA Test Their Apps?,Liberty vai adotar telemetria e baratear seguro para bons motoristas,The new tech talent you need to succeed in digital
"Deep Learning for Chatbots, Part 1 - Introduction",Algorithms and architecture for job recommendations,Machine Learning Is No Longer Just for Experts,AI Is Here to Help You Write Emails People Will Actually Read,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match
Por que o Walmart não é Walmart no Brasil,Cia. Hering sincroniza diferentes marcas em um único portal de compras,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net","Como o e-commerce brasileiro pode, enfim, começar a lucrar"
Uma arquitetura de referência para a Internet das Coisas - Parte 1,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Aplicação de visão computacional com OpenCV,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,"Amazon open-sources its own deep learning software, DSSTNE",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google lags behind Amazon and Microsoft's cloud in one important area,Why Google App Engine rocks: A Google engineer's take,Google Cloud Goes to the Farm
Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,One Dollar Board: Um projeto brasileiro para revolucionar a educação
Why Programmers Want Private Offices,On DRY and the cost of wrongful abstractions,The Ten Commandments of Egoless Programming,Things you probably didn't know you could do with Chrome's Developer Console,My favorite people and resources to learn Android programming from,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio
Lentes de contato inteligentes serão o wearable definitivo,Decentralizing IoT networks through blockchain,Peças Translúcidas,Introducing New Relic Infrastructure,Ray Kurzweil: The world isn't getting worse - our information is getting better,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,O dia em que tive mais medo de estar errada.,Introducing Ask a Female Engineer
Governo brasileiro cria manual para contratação de cloud,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,The AI business landscape,"5 awesome Google Keep features you aren't using, but should be",Mobile marketing statistics 2016
Up your app's sharing game with DirectShare - Google Developers,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Getting Started with Activity & Fragment Transitions (part 1),Designing smart notifications,Building more accessible technology
Google acquires deep search engine Kifi to enhance its Spaces group chat app,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",The economic essentials of digital strategy,Algorithms and architecture for job recommendations,This startup uses machine learning and satellite imagery to predict crop yields,The AI business landscape
"Google launches Springboard, an AI-powered assistant for its enterprise customers","Google acquires Synergyse, an interactive training service for Google Apps",The AI business landscape,"Hello, a nova rede social do Orkut, está liberada no Brasil",5 reasons your employees aren't sharing their knowledge,Inbox by Gmail ganha formatação de texto | Google Discovery
"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Do you want Crappy Agile?,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Inbox by Gmail ganha formatação de texto | Google Discovery,Nubank começa a testar seu programa de fidelidade - Empresas Tech
Why Learning Angular 2 Was Excruciating,My experience with Google's Associate Android Developer Certification,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Jenkins 2.0 is here!,Microsoft's Open Source Love Affair Reaches New Heights,SOA com microserviços - Sensedia
Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
Gartner Reprint,Gartner Reprint,Top Programming Languages Trends: The Rise of Big Data,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Shopping em BH terá fazenda urbana de 2.700 m²,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
Python Is Not Java (dirtSimple.org),Firebase and Google Cloud: better together,How Do Top Android Developers QA Test Their Apps?,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Front in BH 2016
Android Studio 2.2,"A whole new GitHub Universe: announcing new tools, forums, and features",Elastic Stack 5.0.0 Released,Quick Tip: Working with the JavaScript Battery API,Olli: Artificial Intelligence for the real world of connected commuting,My favorite people and resources to learn Android programming from
Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Communication patterns in a Microservice world,Cracking the Job Interview with TensorFlow,Bring Your App To Life with CALayers,System Code Geeks are giving away a FREE Sublime Text Editor License,Google is testing a new Material Design layout for desktop searches
Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Transfer Style But Not Color,Google's Cloud Machine Learning service is now in public beta,Google lags behind Amazon and Microsoft's cloud in one important area,Scala is the new golden child,"Telecoms open shop on Madison Avenue, but will brands buy?"
Blaise Agüera y Arcas: How computers are learning to be creative,Artificial intelligence produces realistic sounds that fool humans,Why Deep Learning Is Suddenly Changing Your Life,How enterprise architects can help ensure success with digital transformations,How will bots make money? Here are 7 business models,The return of the machinery question
Former Google career coach shares a visual trick for figuring out what to do with your life,4 Reasons Managers Should Spend More Time on Coaching,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",The Importance of Code Reviews
How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,Progressive Web App - first introduced on Google I/O | airberlin,Squads não-suicidas - Hipsters #08,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Spotify UI built with HTML / CSS - Freebiesbug
Using behavioral data to improve customer satisfaction,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,It's The Future,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste","DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Shopping em BH terá fazenda urbana de 2.700 m²,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem
Google Cloud Goes to the Farm,"Amazon open-sources its own deep learning software, DSSTNE",Google lags behind Amazon and Microsoft's cloud in one important area,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,The AI business landscape
DBA BRASIL no INTEROPMIX 2016,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Elastic Stack 5.0.0 Released,Internet of Things Drives Outcome-Based Business Models,Closure Compiler in JavaScript,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
Jury finds Google's implementation of Java in Android was fair use,Google's cloud platform is now a force to be reckoned with,9 Non-Threatening Leadership Strategies for Women,A minha viagem à Maternidade #tetodomundo,"An independent organization just ranked Google as the best cloud, beating Amazon",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Two Different Sales Motions . . . .,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,7 Questions to Ask Before Your Next Digital Transformation,Rewiring Citi for the digital age,Meet the new Brazilian consumer
Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Bradesco vai lançar novo banco digital: o Next.,The Drive to Bank on Digital
How to finish 3D printed PLA objects,Peças Translúcidas,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,Internet of Things Drives Outcome-Based Business Models,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery"
Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,CMN regulamenta abertura de conta de depósito por meio eletrônico,Visa inaugura Co-Creation Center em São Paulo,Mobile Time,Nubank começa a testar seu programa de fidelidade - Empresas Tech,The new tech talent you need to succeed in digital
Top Programming Languages Trends: The Rise of Big Data,Gartner Reprint,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Prisma for Android is now live for all in the Google Play Store,Assessing Salesforce's platform and ecosystem | ZDNet,Torus
"No, Apple isn't the next BlackBerry - it's the next Microsoft",The Physical Web,The AI business landscape,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,Top 10 Intranet Trends of 2016,Making open source data more available
11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,1º Congresso Brasileiro de IoT - Embarcados
Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin,How I sped up the initial render of my Polymer app by 86%,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",This Super Accurate Portrait Selection Tech Uses Neural Networks,Touch (TV Series 2012-2013)
How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,Up your app's sharing game with DirectShare - Google Developers,Designing smart notifications,The Importance of Code Reviews,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
Do You Suffer From Deployment Anxiety? - DZone DevOps,New Amazon Linux Container Image for Cloud and On-Premises Workloads,You don't talk about refactoring club,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Seniority
Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Quick Tip: Working with the JavaScript Battery API,Comparing React.js to Vue.js for dynamic tabular data,Anti-If: The missing patterns,Vision API - Image Content Analysis,What Color is Your Function?
Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Cubr,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",This Super Accurate Portrait Selection Tech Uses Neural Networks,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models
"GitHub broke my 1,000 day streak - Free Code Camp",The hardest thing in computer science,Jenkins 2.0 is here!,What Color is Your Function?,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic"
The End Of Apple Man,How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,The Importance of Code Reviews,"Fresco, sim! - Android Dev BR",Google may be considering Swift for use on Android
Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Communication patterns in a Microservice world,Microservices testing,Aplicações da Inteligência artificial | Endeavor Brasil,"What do you mean by ""Event-Driven""?"
Skill swarms - a new way to share expertise and work smarter together - Skillhive,5 reasons your employees aren't sharing their knowledge,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",A step-by-step guide to agile growth experiments,The barbell effect of machine learning.,Machine Learning Is Redefining The Enterprise In 2016
Do you want Crappy Agile?,Nintendo has doubled in value since Pokémon Go's release,"Agile is Dead, Long Live Continuous Delivery - Gradle",The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
Microsoft expands its support for Docker containers,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Aplicação de visão computacional com OpenCV,Acesse a versão Material Design do YouTube | Google Discovery,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',How I sped up the initial render of my Polymer app by 86%
"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",6 reasons why I like KeystoneML,"The ""Joel Test"" for Data Science",Google's Cloud Machine Learning service is now in public beta,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Using behavioral data to improve customer satisfaction
Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,Nova pulseira tecnológica avisa se você já bebeu demais,1º Congresso Brasileiro de IoT - Embarcados,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Why Is Learning Drupal Hard?,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone"
Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Docker e .Net
Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Confused by blockchains? Revolution vs Evolution,Measuring email effectiveness in retail banking,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Banking Needs a Customer Experience Wake-Up Call,Design Kit: Prototyping
Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,Measuring email effectiveness in retail banking,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk
